time,riedon.riedon_current_mA,bms.pack_voltage_V
2025-11-22 13:17:06.000,72.484,138.7517
2025-11-22 13:17:06.499,72.484,138.7525
2025-11-22 13:17:07.000,72.484,138.7527
2025-11-22 13:17:07.499,72.484,138.7534
2025-11-22 13:17:07.998,72.484,138.7535
2025-11-22 13:17:08.500,72.484,138.7535
2025-11-22 13:17:08.999,72.484,138.7537
2025-11-22 13:17:09.498,72.484,138.7529
2025-11-22 13:17:10.000,72.484,138.7541
2025-11-22 13:17:10.499,72.484,138.7534
2025-11-22 13:17:10.998,72.484,138.7532
2025-11-22 13:17:11.498,72.484,138.7541
2025-11-22 13:17:11.998,72.484,138.7537
2025-11-22 13:17:12.498,72.484,138.7541
2025-11-22 13:17:13.000,72.484,138.7543
2025-11-22 13:17:13.499,72.484,138.755
2025-11-22 13:17:13.999,72.484,138.7545
2025-11-22 13:17:14.502,72.484,138.7549
2025-11-22 13:17:14.999,72.484,138.7533
2025-11-22 13:17:15.498,72.484,138.7547
2025-11-22 13:17:16.002,72.484,138.7551
2025-11-22 13:17:16.499,72.484,138.7547
2025-11-22 13:17:16.999,72.484,138.7552
2025-11-22 13:17:17.502,72.484,138.755
2025-11-22 13:17:17.999,72.484,138.7555
2025-11-22 13:17:18.499,72.484,138.7554
2025-11-22 13:17:19.002,72.484,138.756
2025-11-22 13:17:19.499,72.484,138.756
2025-11-22 13:17:19.999,72.484,138.7563
2025-11-22 13:17:20.501,72.484,138.7556
2025-11-22 13:17:20.999,72.484,138.756
2025-11-22 13:17:21.498,72.484,138.7561
2025-11-22 13:17:22.002,72.484,138.7571
2025-11-22 13:17:22.499,72.484,138.7566
2025-11-22 13:17:22.999,72.484,138.7569
2025-11-22 13:17:23.502,72.484,138.7564
2025-11-22 13:17:23.999,72.484,138.7569
2025-11-22 13:17:24.499,72.484,138.7566
2025-11-22 13:17:25.002,72.484,138.7573
2025-11-22 13:17:25.499,72.484,138.7572
2025-11-22 13:17:25.999,72.484,138.757
2025-11-22 13:17:26.502,72.484,138.7566
2025-11-22 13:17:26.998,72.484,138.7563
2025-11-22 13:17:27.498,72.484,138.7573
