Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),Capacity (Ah),mAh/g,ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah)
1,	05/13/2026 15:39:28.633,1.0009,1.0009,1,1,1.6929,4.0641,6.8799,0.0003,0.0000,0.0013,0.0000,0.0003,0.0000,,0.0353,,0.0044,345.3011
2,	05/13/2026 15:39:29.633,2.0009,2.0009,1,1,1.6969,4.0675,6.9023,0.0008,0.0000,0.0032,0.0000,0.0008,0.0000,,0.0044,,,
3,	05/13/2026 15:39:30.634,3.0017,3.0017,1,1,1.7010,4.0698,6.9227,0.0013,0.0000,0.0052,0.0000,0.0013,0.0000,,,,,
4,	05/13/2026 15:39:31.635,4.0025,4.0025,1,1,1.7000,4.0715,6.9217,0.0017,0.0000,0.0071,0.0000,0.0017,0.0000,,0.0025,,0.1412,15.6790
5,	05/13/2026 15:39:32.634,5.0015,5.0015,1,1,1.7000,4.0732,6.9246,0.0022,0.0000,0.0090,0.0000,0.0022,0.0000,,,,,
6,	05/13/2026 15:39:33.633,6.0009,6.0009,1,1,1.7001,4.0745,6.9268,0.0027,0.0000,0.0109,0.0000,0.0027,0.0000,,0.0016,,,
7,	05/13/2026 15:39:34.634,7.0015,7.0015,1,1,1.7000,4.0757,6.9288,0.0032,0.0000,0.0129,0.0000,0.0032,0.0000,,,,,
8,	05/13/2026 15:39:35.634,8.0015,8.0015,1,1,1.7000,4.0768,6.9305,0.0036,0.0000,0.0148,0.0000,0.0036,0.0000,,,,,
9,	05/13/2026 15:39:36.634,9.0021,9.0021,1,1,1.7001,4.0780,6.9329,0.0041,0.0000,0.0167,0.0000,0.0041,0.0000,,0.0012,,,
10,	05/13/2026 15:39:37.633,10.0007,10.0007,1,1,1.6999,4.0789,6.9338,0.0046,0.0000,0.0186,0.0000,0.0046,0.0000,,,,,
11,	05/13/2026 15:39:38.634,11.0015,11.0015,1,1,1.7000,4.0799,6.9361,0.0050,0.0000,0.0206,0.0000,0.0050,0.0000,,,,,
12,	05/13/2026 15:39:39.632,12.0002,12.0002,1,1,1.7000,4.0808,6.9375,0.0055,0.0000,0.0225,0.0000,0.0055,0.0000,,0.0010,,,
13,	05/13/2026 15:39:40.634,13.0023,13.0023,1,1,1.7000,4.0817,6.9390,0.0060,0.0000,0.0244,0.0000,0.0060,0.0000,,,,0.4014,
14,	05/13/2026 15:39:41.634,14.0015,14.0015,1,1,1.7001,4.0826,6.9410,0.0065,0.0000,0.0263,0.0000,0.0065,0.0000,,,,,
15,	05/13/2026 15:39:42.633,15.0008,15.0008,1,1,1.7001,4.0834,6.9420,0.0069,0.0000,0.0283,0.0000,0.0069,0.0000,,0.0009,,,
16,	05/13/2026 15:39:43.633,16.0007,16.0007,1,1,1.7001,4.0841,6.9434,0.0074,0.0000,0.0302,0.0000,0.0074,0.0000,,,,,
17,	05/13/2026 15:39:44.633,17.0007,17.0007,1,1,1.7000,4.0849,6.9442,0.0079,0.0000,0.0321,0.0000,0.0079,0.0000,,,,,
18,	05/13/2026 15:39:45.634,18.0016,18.0016,1,1,1.7001,4.0855,6.9457,0.0084,0.0000,0.0341,0.0000,0.0084,0.0000,,,,,
19,	05/13/2026 15:39:46.633,19.0010,19.0010,1,1,1.7000,4.0860,6.9464,0.0088,0.0000,0.0360,0.0000,0.0088,0.0000,,0.0007,,,
20,	05/13/2026 15:39:47.633,20.0005,20.0005,1,1,1.6999,4.0867,6.9471,0.0093,0.0000,0.0379,0.0000,0.0093,0.0000,,,,,
